2026-04-18 15:23:28 | INFO     | backend.rag.vector_store | vector_store.py:62 | 成功添加 1 个文档到 ChromaDB
2026-04-18 15:23:28 | INFO     | backend.agents.search_agent | search_agent.py:77 | 已将 2 条结果添加到知识库
2026-04-18 15:23:29 | INFO     | backend.rag.embedding_service | embedding_service.py:56 | Embedding 成功，维度: 1024
2026-04-18 15:23:29 | INFO     | backend.rag.keyword_retriever | keyword_retriever.py:163 | 关键词索引构建完成: files=6, chunks=6, avg_len=128.00
2026-04-18 15:23:29 | INFO     | backend.rag.embedding_service | embedding_service.py:56 | Embedding 成功，维度: 1024
2026-04-18 15:23:29 | INFO     | backend.rag.retriever | retriever.py:152 | 增强检索完成: query=我从北京出发，预算3000，想去苏州玩3..., rewrite=2, candidates=6, results=5
2026-04-18 15:23:29 | INFO     | backend.agents.coordinator | coordinator.py:103 | [LangGraph] Node: planner_node
2026-04-18 15:23:29 | INFO     | backend.agents.planner_agent | planner_agent.py:91 | PlannerAgent 处理请求: 我从北京出发，预算3000，想去苏州玩3天，亲子出行，住地铁附近，不吃辣...
2026-04-18 15:24:11 | INFO     | backend.agents.planner_agent | planner_agent.py:112 | PlannerAgent 完成，计划天数: 3
2026-04-18 15:24:11 | INFO     | backend.agents.coordinator | coordinator.py:126 | [LangGraph] Node: writer_node
2026-04-18 15:24:11 | INFO     | backend.agents.writer_agent | writer_agent.py:62 | WriterAgent 生成攻略，风格: friendly
2026-04-18 15:24:45 | INFO     | backend.agents.writer_agent | writer_agent.py:76 | WriterAgent 完成，生成 3 天攻略
2026-04-18 15:24:45 | INFO     | backend.agents.coordinator | coordinator.py:161 | [LangGraph] Node: visualize_node
2026-04-18 15:24:45 | INFO     | backend.agents.visualization_agent | visualization_agent.py:86 | VisualizationAgent 生成路线图，风格: travel poster
2026-04-18 15:25:40 | INFO     | backend.agents.visualization_agent | visualization_agent.py:105 | VisualizationAgent 完成，标记 0 个景点
2026-04-18 15:26:53 | INFO     | backend.agents.coordinator | coordinator.py:358 | [LangGraph] 开始处理请求: 帮我再规划一个五天的方案...
2026-04-18 15:26:53 | INFO     | backend.agents.coordinator | coordinator.py:82 | [LangGraph] Node: search_node
2026-04-18 15:26:53 | INFO     | backend.agents.search_agent | search_agent.py:65 | SearchAgent 处理查询: 帮我再规划一个五天的方案...
2026-04-18 15:27:10 | INFO     | backend.agents.search_agent | search_agent.py:124 | 外部搜索完成，找到 1 条结果
2026-04-18 15:27:10 | INFO     | backend.rag.document_processor | document_processor.py:107 | 原始文档已保存: d093673496f0a965
